x,y
198.349000,0.000000
198.295000,1.000000
198.126000,2.000000
198.000000,2.425110
197.827000,3.000000
197.453000,4.000000
197.000000,4.933580
196.965000,5.000000
196.391000,6.000000
196.000000,6.578770
195.705000,7.000000
195.000000,7.944880
194.956000,8.000000
194.128000,9.000000
194.000000,9.140930
193.209000,10.000000
193.000000,10.214600
192.211000,11.000000
192.000000,11.203000
191.135000,12.000000
191.000000,12.122900
190.000000,12.979200
189.976000,13.000000
189.000000,13.789600
188.741000,14.000000
188.000000,14.576700
187.445000,15.000000
187.000000,15.337600
186.069000,16.000000
186.000000,16.051600
185.000000,16.725400
184.604000,17.000000
184.000000,17.408200
183.078000,18.000000
183.000000,18.053100
182.000000,18.662800
181.462000,19.000000
181.000000,19.289600
180.000000,19.858600
179.769000,20.000000
179.000000,20.446400
178.007000,21.000000
178.000000,21.004500
177.000000,21.547100
176.163000,22.000000
176.000000,22.093200
175.000000,22.601300
174.238000,23.000000
174.000000,23.130000
173.000000,23.614500
172.235000,24.000000
172.000000,24.123800
171.000000,24.591000
170.154000,25.000000
170.000000,25.078700
169.000000,25.534900
168.000000,25.995300
167.991000,26.000000
167.000000,26.448900
166.000000,26.879300
165.743000,27.000000
165.000000,27.333600
164.000000,27.741200
163.415000,28.000000
163.000000,28.185800
162.000000,28.583300
161.000000,28.996300
160.992000,29.000000
160.000000,29.403000
159.000000,29.779400
158.462000,30.000000
158.000000,30.190100
157.000000,30.555100
156.000000,30.925800
155.815000,31.000000
155.000000,31.309200
154.000000,31.650100
153.035000,32.000000
153.000000,32.013700
152.000000,32.365700
151.000000,32.686900
150.090000,33.000000
150.000000,33.032900
149.000000,33.362400
148.000000,33.663500
147.000000,33.982800
146.949000,34.000000
146.000000,34.299300
145.000000,34.581500
144.000000,34.868200
143.572000,35.000000
143.000000,35.174000
142.000000,35.444400
141.000000,35.702900
140.000000,35.977900
139.924000,36.000000
139.000000,36.252300
138.000000,36.496800
137.000000,36.736500
136.000000,36.994300
135.979000,37.000000
135.000000,37.249100
134.000000,37.478700
133.000000,37.704100
132.000000,37.944800
131.786000,38.000000
131.000000,38.195200
130.000000,38.421400
129.000000,38.641400
128.000000,38.873600
127.503000,39.000000
127.000000,39.127700
126.000000,39.362200
125.000000,39.587500
124.000000,39.822900
123.322000,40.000000
123.000000,40.085900
122.000000,40.334800
121.000000,40.571500
120.000000,40.818100
119.336000,41.000000
119.000000,41.093800
118.000000,41.352600
117.000000,41.598300
116.000000,41.854900
115.484000,42.000000
115.000000,42.136200
114.000000,42.391600
113.000000,42.633400
112.000000,42.883700
111.564000,43.000000
111.000000,43.148500
110.000000,43.381500
109.000000,43.594800
108.000000,43.802800
107.066000,44.000000
107.000000,44.014700
106.000000,44.205500
105.000000,44.363200
104.000000,44.495300
103.000000,44.604700
102.000000,44.691000
101.000000,44.751900
100.000000,44.784400
99.000000,44.786000
98.000000,44.755700
97.000000,44.693600
96.000000,44.601100
95.000000,44.478800
94.000000,44.324600
93.000000,44.130500
92.465000,44.000000
92.000000,43.885400
91.000000,43.630400
90.000000,43.362600
89.000000,43.050500
88.861900,43.000000
88.000000,42.701500
87.000000,42.367100
86.030100,42.000000
86.000000,41.987700
85.000000,41.598200
84.000000,41.222200
83.475700,41.000000
83.000000,40.797300
82.000000,40.412000
81.000000,40.005900
80.986500,40.000000
80.000000,39.603700
79.000000,39.237700
78.392100,39.000000
78.000000,38.844300
77.000000,38.504000
76.000000,38.187100
75.421500,38.000000
75.000000,37.862700
74.000000,37.595700
73.000000,37.371300
72.000000,37.173400
71.000000,37.000600
70.995700,37.000000
70.000000,36.872700
69.000000,36.797500
68.000000,36.770900
67.000000,36.792800
66.000000,36.865800
65.000000,36.997500
64.986800,37.000000
64.000000,37.183600
63.000000,37.403700
62.000000,37.664600
61.001500,38.000000
61.000000,38.000500
60.000000,38.386500
59.000000,38.794100
58.590300,39.000000
58.000000,39.294200
57.000000,39.794500
56.656800,40.000000
56.000000,40.385700
55.000000,40.994700
54.992400,41.000000
54.000000,41.650000
53.514600,42.000000
53.000000,42.374900
52.163800,43.000000
52.000000,43.129800
51.000000,43.909900
50.894600,44.000000
50.000000,44.750100
49.719400,45.000000
49.000000,45.643400
48.617200,46.000000
48.000000,46.584700
47.574600,47.000000
47.000000,47.574600
46.584700,48.000000
46.000000,48.617200
45.643400,49.000000
45.000000,49.719400
44.750100,50.000000
44.000000,50.894600
43.909900,51.000000
43.129800,52.000000
43.000000,52.163800
42.374900,53.000000
42.000000,53.514600
41.650000,54.000000
41.000000,54.992400
40.994700,55.000000
40.385700,56.000000
40.000000,56.656800
39.794500,57.000000
39.294200,58.000000
39.000000,58.590300
38.794100,59.000000
38.386500,60.000000
38.000500,61.000000
38.000000,61.001500
37.664600,62.000000
37.403700,63.000000
37.183600,64.000000
37.000000,64.986900
36.997500,65.000000
36.865800,66.000000
36.792800,67.000000
36.770900,68.000000
36.797500,69.000000
36.872700,70.000000
37.000000,70.995700
37.000600,71.000000
37.173400,72.000000
37.371300,73.000000
37.595700,74.000000
37.862700,75.000000
38.000000,75.421500
38.187100,76.000000
38.504000,77.000000
38.844300,78.000000
39.000000,78.392100
39.237700,79.000000
39.603700,80.000000
40.000000,80.986500
40.005900,81.000000
40.412000,82.000000
40.797300,83.000000
41.000000,83.475700
41.222200,84.000000
41.598200,85.000000
41.987700,86.000000
42.000000,86.030100
42.367100,87.000000
42.701500,88.000000
43.000000,88.861900
43.050500,89.000000
43.362600,90.000000
43.630400,91.000000
43.885400,92.000000
44.000000,92.465100
44.130500,93.000000
44.324600,94.000000
44.478800,95.000000
44.601100,96.000000
44.693600,97.000000
44.755700,98.000000
44.786000,99.000000
44.784400,100.000000
44.751900,101.000000
44.691000,102.000000
44.604700,103.000000
44.495300,104.000000
44.363200,105.000000
44.205400,106.000000
44.014700,107.000000
44.000000,107.066000
43.802800,108.000000
43.594800,109.000000
43.381500,110.000000
43.148500,111.000000
43.000000,111.564000
42.883700,112.000000
42.633400,113.000000
42.391600,114.000000
42.136200,115.000000
42.000000,115.484000
41.854900,116.000000
41.598300,117.000000
41.352600,118.000000
41.093800,119.000000
41.000000,119.336000
40.818100,120.000000
40.571500,121.000000
40.334800,122.000000
40.085900,123.000000
40.000000,123.322000
39.822900,124.000000
39.587500,125.000000
39.362200,126.000000
39.127700,127.000000
39.000000,127.503000
38.873600,128.000000
38.641400,129.000000
38.421400,130.000000
38.195200,131.000000
38.000000,131.786000
37.944800,132.000000
37.704100,133.000000
37.478700,134.000000
37.249100,135.000000
37.000000,135.979000
36.994300,136.000000
36.736500,137.000000
36.496800,138.000000
36.252300,139.000000
36.000000,139.924000
35.977900,140.000000
35.702900,141.000000
35.444400,142.000000
35.174000,143.000000
35.000000,143.572000
34.868200,144.000000
34.581500,145.000000
34.299300,146.000000
34.000000,146.949000
33.982800,147.000000
33.663500,148.000000
33.362400,149.000000
33.032900,150.000000
33.000000,150.090000
32.686900,151.000000
32.365700,152.000000
32.013700,153.000000
32.000000,153.035000
31.650100,154.000000
31.309200,155.000000
31.000000,155.815000
30.925800,156.000000
30.555100,157.000000
30.190000,158.000000
30.000000,158.462000
29.779400,159.000000
29.403000,160.000000
29.000000,160.992000
28.996300,161.000000
28.583300,162.000000
28.185800,163.000000
28.000000,163.415000
27.741200,164.000000
27.333600,165.000000
27.000000,165.743000
26.879300,166.000000
26.448900,167.000000
26.000000,167.991000
25.995300,168.000000
25.534900,169.000000
25.078700,170.000000
25.000000,170.154000
24.591000,171.000000
24.123800,172.000000
24.000000,172.235000
23.614500,173.000000
23.130000,174.000000
23.000000,174.238000
22.601300,175.000000
22.093200,176.000000
22.000000,176.163000
21.547000,177.000000
21.004500,178.000000
21.000000,178.007000
20.446400,179.000000
20.000000,179.769000
19.858600,180.000000
19.289600,181.000000
19.000000,181.462000
18.662800,182.000000
18.053100,183.000000
18.000000,183.078000
17.408200,184.000000
17.000000,184.604000
16.725400,185.000000
16.051600,186.000000
16.000000,186.069000
15.337600,187.000000
15.000000,187.445000
14.576700,188.000000
14.000000,188.741000
13.789600,189.000000
13.000000,189.976000
12.979200,190.000000
12.122900,191.000000
12.000000,191.135000
11.203000,192.000000
11.000000,192.211000
10.214600,193.000000
10.000000,193.209000
9.140920,194.000000
9.000000,194.128000
8.000000,194.956000
7.944870,195.000000
7.000000,195.705000
6.578760,196.000000
6.000000,196.391000
5.000000,196.965000
4.933560,197.000000
4.000000,197.453000
3.000000,197.827000
2.425080,198.000000
2.000000,198.126000
1.000000,198.295000
0.000000,198.349000
