time,Interface_location_along_x_axis,Total_FE,Total_solid_volume,Total_solid_fraction
1364.172,185.625,2026184.178,11314.73719,0.012277276
1377.2792,186.796875,2025290.9,11442.76977,0.0124162
1390.3864,187.96875,2024089.958,11571.05341,0.012555396
1403.4936,189.375,2022727.437,11699.58501,0.012694862
1416.6008,190.546875,2021590.358,11828.36448,0.012834597
1429.708,191.71875,2020439.495,11957.39037,0.012974599
1442.8152,193.125,2019283.468,12086.65936,0.013114865
1455.9224,194.296875,2018124.56,12216.16872,0.013255391
1469.0296,195.46875,2016963.32,12345.91834,0.013396179
1482.1368,196.875,2016221.707,12475.90624,0.013537225
1495.244,198.046875,1008090.736,12606.12959,0.013678526
1508.3512,199.21875,1007537.773,12736.58546,0.01382008
1520,200.390625,1007045.421,12852.83722,0.013946221
