time,Interface_location_along_x_axis,Total_FE,Total_solid_fraction
0,0,0,0
0.003,7.96875,2122266.3848926,5.4625479043157e-05
0.0066,7.96875,2122264.225387,5.4677774738402e-05
0.01092,8.02734375,2122262.0306237,5.4745449116432e-05
0.016104,8.02734375,2122259.7792888,5.4829571275043e-05
0.0223248,8.02734375,2122257.4574786,5.4933659951397e-05
0.02978976,8.0859375,2122255.0532445,5.506409315483e-05
0.038747712,8.0859375,2122252.5105723,5.5227175994148e-05
0.0494972544,8.0859375,2122249.8239779,5.5431142646414e-05
0.06239670528,8.0859375,2122246.9248331,5.5685957841322e-05
0.077876046336,8.0859375,2122243.7884422,5.6002964198022e-05
0.0964512556032,8.203125,2122240.3493741,5.6398358307134e-05
0.11874150672384,8.203125,2122236.5189525,5.6888877031799e-05
0.14548980806861,8.203125,2122232.2520657,5.7495292982221e-05
0.17758776968233,8.3203125,2122227.4688825,5.823820132134e-05
0.2161053236188,8.4375,2122221.9745794,5.9150790583873e-05
0.26232638834255,8.4375,2122215.7721786,6.0257885804612e-05
0.31779166601107,8.5546875,2122208.752363,6.15929449671e-05
0.38434999921328,8.671875,2122200.7317938,6.3189221122379e-05
0.46421999905593,8.7890625,2122191.5451839,6.5086711387506e-05
0.56006399886712,8.90625,2122181.0207498,6.7317161357623e-05
0.67507679864055,9.140625,2122168.9870593,6.9934767867963e-05
0.81309215836865,9.375,2122155.1583111,7.2966877984695e-05
0.97871059004238,9.609375,2122139.096924,7.6470562026001e-05
1.1774527080509,9.84375,2122120.5672383,8.0477126658624e-05
1.415943249661,10.078125,2122098.6982798,8.5048860752209e-05
1.7021318995932,10.3125,2122073.5497908,9.022212469083e-05
2.0021318995932,10.546875,2122047.3360271,9.5348308346607e-05
2.3021318995932,10.78125,2122022.1444795,0.0001002049471417
2.6021318995932,11.25,2121996.4337044,0.00010485294192533
2.8421318995932,11.25,2121976.7583562,0.00010842371504119
3.0821318995932,11.484375,2121956.4956857,0.00011189994361687
3.3701318995932,11.71875,2121933.3599023,0.0001159250647697
3.5621318995932,11.71875,2121916.1832449,0.00011870866802365
3.7541318995932,11.953125,2121900.6946448,0.00012130994705371
3.9845318995932,12.1875,2121881.7023291,0.00012433706850886
4.2610118995932,12.1875,2121859.962982,0.00012784495529419
4.5610118995932,12.421875,2121836.0313469,0.00013155521433754
4.8610118995932,12.65625,2121812.9658233,0.00013515300297594
5.1610118995932,12.65625,2121789.2638989,0.00013867468257064
5.4610118995932,13.125,2121766.5471324,0.00014210473792924
5.7610118995932,13.125,2121743.2769626,0.00014547415326771
6.0610118995932,13.125,2121720.8531215,0.00014876610802346
6.3610118995932,13.59375,2121697.8532218,0.00015200936340065
6.6610118995932,13.59375,2121675.7344873,0.00015518592394694
6.9610118995932,13.59375,2121653.0080295,0.00015832225394226
7.2610118995932,13.828125,2121631.2053249,0.00016140042573602
7.5610118995932,14.0625,2121608.5825294,0.00016444569840516
7.8610118995932,14.0625,2121586.6959931,0.00016743943248869
8.1610118995932,14.296875,2121564.2496098,0.00017040769183092
8.4610118995932,14.53125,2121542.4629105,0.0001733283085548
8.7610118995932,14.53125,2121520.3519306,0.00017622677537012
9.0610118995932,14.53125,2121498.9485135,0.00017908343680181
9.3610118995932,14.765625,2121477.0404583,0.00018192464890051
9.6610118995932,15,2121455.9994312,0.00018472604905766
9.9610118995932,15,2121434.104579,0.00018751578367058
10.261011899593,15,2121413.2359991,0.00019026832456003
10.561011899593,15.234375,2121391.4886005,0.00019301093065194
10.861011899593,15.46875,2121370.5958752,0.00019572046839195
11.161011899593,15.46875,2121349.0196711,0.00019842270895641
11.401011899593,15.46875,2121332.5405165,0.00020056147787948
11.641011899593,15.46875,2121314.8426968,0.00020269986717763
11.929011899593,15.703125,2121295.2213827,0.00020523949671851
12.229011899593,15.9375,2121273.5112401,0.00020788073941365
12.529011899593,15.9375,2121253.0953022,0.00021049564964902
12.829011899593,15.9375,2121231.5511438,0.00021310603413847
13.129011899593,16.171875,2121211.2008259,0.00021569235228892
13.429011899593,16.40625,2121189.4544526,0.00021827590500575
13.729011899593,16.40625,2121169.2336406,0.00022083568316997
14.029011899593,16.40625,2121147.5114157,0.00022339433162101
14.329011899593,16.40625,2121127.4287506,0.00022592975527487
14.629011899593,16.640625,2121105.7464636,0.00022846533600578
14.929011899593,16.875,2121085.6319085,0.00023097945926136
15.229011899593,16.875,2121064.3826307,0.0002334943233312
15.529011899593,16.875,2121044.4417296,0.00023598815319232
15.829011899593,17.109375,2121023.462093,0.00023848246589118
16.129011899593,17.109375,2121003.4155483,0.00024095787399607
16.429011899593,17.34375,2120982.3301715,0.00024343469697631
16.729011899593,17.34375,2120962.700795,0.00024589288136385
17.029011899593,17.34375,2120940.9149895,0.00024835252895255
17.221011899593,17.34375,2120927.1932165,0.00025003558624349
17.413011899593,17.578125,2120913.1738418,0.0002516450084209
17.643411899593,17.8125,2120897.2932933,0.00025352822065727
17.919891899593,17.8125,2120877.6354183,0.00025578034613411
18.219891899593,17.8125,2120858.1033153,0.00025820062922119
18.519891899593,17.8125,2120837.2560475,0.00026062226147785
18.759891899593,17.8125,2120821.4714562,0.0002625464045711
18.999891899593,18.046875,2120804.4229762,0.00026447584454226
19.287891899593,18.28125,2120785.7213552,0.00026677573075889
19.587891899593,18.28125,2120765.1811153,0.00026917349789046
19.887891899593,18.28125,2120745.6978693,0.00027155614661053
20.187891899593,18.28125,2120724.9289995,0.00027394119174198
20.487891899593,18.515625,2120705.6097043,0.00027631173342953
20.787891899593,18.75,2120685.143451,0.00027868576256442
21.087891899593,18.75,2120665.8087256,0.00028104554942036
21.387891899593,18.75,2120645.268001,0.00028340779382405
21.687891899593,18.75,2120626.0639699,0.00028575789685362
21.987891899593,18.984375,2120605.5624541,0.00028811176745101
22.287891899593,18.984375,2120586.3977472,0.00029045081771293
22.587891899593,19.21875,2120565.6815196,0.00029279225752232
22.887891899593,19.21875,2120546.579353,0.0002951222841105
23.187891899593,19.21875,2120526.1839196,0.00029745429305393
23.487891899593,19.21875,2120507.167262,0.00029977510560249
23.787891899593,19.453125,2120486.340023,0.00030209971379831
24.087891899593,19.6875,2120467.3510244,0.00030441148308687
24.387891899593,19.6875,2120447.1026057,0.00030672694227675
24.687891899593,19.6875,2120428.180326,0.00030902887766358
24.987891899593,19.6875,2120407.525765,0.00031133642319547
25.287891899593,19.921875,2120388.6623633,0.00031363055676452
25.587891899593,19.921875,2120368.274204,0.00031592868740448
25.887891899593,20.15625,2120349.1364974,0.00031821524332315
26.187891899593,20.15625,2120328.4616854,0.00032050673168484
26.487891899593,20.15625,2120309.3193904,0.0003227850032568
26.787891899593,20.15625,2120289.1451998,0.00032507019619844
27.087891899593,20.390625,2120270.034204,0.00032733979144428
27.387891899593,20.390625,2120249.6434979,0.00032961830569915
27.541491899593,20.625,2120237.5306754,0.00033097596151056
27.695091899593,20.625,2120225.5733748,0.00033221093414526
27.879411899593,20.625,2120213.3038236,0.00033362513090192
28.100595899593,20.625,2120197.3274669,0.00033531026561303
28.366016699593,20.625,2120180.2564271,0.00033731001644148
28.666016699593,20.625,2120159.970295,0.00033957469250553
28.906016699593,20.859375,2120144.1876935,0.00034137456184249
29.146016699593,20.859375,2120127.5931303,0.00034318119007169
29.434016699593,21.09375,2120108.8443932,0.00034533565685983
29.734016699593,21.09375,2120088.7740927,0.00034758650881808
30.034016699593,21.09375,2120069.5234806,0.00034982486820664
30.334016699593,21.09375,2120049.575322,0.00035207077109701
30.634016699593,21.328125,2120030.1073785,0.0003543032410381
30.934016699593,21.328125,2120009.7926375,0.00035654295145456
31.234016699593,21.5625,2119990.564237,0.00035876980537625
31.534016699593,21.5625,2119970.4679182,0.00036100469857643
31.834016699593,21.5625,2119951.4851887,0.00036322676112639
32.134016699593,21.5625,2119931.7352092,0.00036545881099113
32.434016699593,21.796875,2119912.0926477,0.00036767459262571
32.734016699593,21.796875,2119891.9637562,0.00036989927866297
33.034016699593,22.03125,2119873.2267927,0.00037211031238569
33.334016699593,22.03125,2119852.6776314,0.00037433337343662
33.634016699593,22.03125,2119834.2090109,0.00037654017178879
33.934016699593,22.03125,2119814.4456373,0.00037875746831851
34.234016699593,22.03125,2119795.8799314,0.0003809604146122
34.534016699593,22.265625,2119775.7819828,0.00038317172193627
34.834016699593,22.5,2119757.4324684,0.00038537075398706
35.134016699593,22.5,2119737.7528308,0.0003875778135713
35.434016699593,22.5,2119719.2484066,0.00038977273261798
35.734016699593,22.5,2119699.2594927,0.00039197722322962
36.034016699593,22.5,2119681.150149,0.00039416724923023
36.334016699593,22.734375,2119661.0695252,0.00039636640153221
36.634016699593,22.734375,2119642.6646522,0.00039855353155799
36.874016699593,22.96875,2119626.6175415,0.00040031174147427
37.114016699593,22.96875,2119611.6961019,0.00040205848032754
37.402016699593,22.96875,2119592.5521809,0.00040416372976287
37.702016699593,22.96875,2119574.2883841,0.00040634351448233
38.002016699593,22.96875,2119554.2156345,0.00040853096890849
38.302016699593,23.203125,2119536.0143247,0.00041070720748474
38.602016699593,23.203125,2119516.2582299,0.00041289211514467
38.902016699593,23.4375,2119497.1895519,0.00041506378990547
39.202016699593,23.4375,2119477.5264648,0.0004172475013001
39.502016699593,23.4375,2119458.8147346,0.00041941500929366
39.802016699593,23.4375,2119438.9777511,0.00042159385105853
40.102016699593,23.4375,2119420.401122,0.00042375830656944
40.402016699593,23.671875,2119401.0243222,0.00042593347483385
40.702016699593,23.671875,2119382.1017582,0.00042809578466844
41.002016699593,23.90625,2119362.585627,0.00043026794760595
41.302016699593,23.90625,2119343.9860917,0.00043242645190278
41.602016699593,23.90625,2119324.414214,0.00043459465672673
41.902016699593,23.90625,2119305.8531917,0.00043674976094434
42.202016699593,24.140625,2119286.4673568,0.00043891602192628
42.442016699593,24.140625,2119271.0490233,0.00044063679438929
42.682016699593,24.140625,2119255.3386639,0.00044237133003628
42.970016699593,24.375,2119237.29992,0.00044443536150419
43.270016699593,24.375,2119217.7220039,0.00044659851698694
43.570016699593,24.375,2119198.9578547,0.00044874578102359
43.870016699593,24.375,2119179.6875278,0.00045090342627251
44.170016699593,24.375,2119160.771324,0.00045304922616953
44.410016699593,24.609375,2119144.8721734,0.00045477564825809
44.602016699593,24.609375,2119132.5525286,0.00045614659732535
44.794016699593,24.84375,2119119.9125905,0.00045752960553283
45.024416699593,24.84375,2119105.5361712,0.00045917176271322
45.300896699593,24.84375,2119087.0918538,0.00046115780568179
45.600896699593,24.84375,2119068.5170685,0.0004632955423932
45.840896699593,24.84375,2119052.6003697,0.00046501765293336
46.080896699593,24.84375,2119036.9539093,0.00046672465327668
46.368896699593,25.078125,2119018.6732648,0.00046879058448919
46.668896699593,25.078125,2119000.0430033,0.00047092405861688
46.968896699593,25.3125,2118981.1688853,0.00047307114738703
47.268896699593,25.3125,2118962.3585665,0.0004752025847911
47.568896699593,25.3125,2118943.2621046,0.00047734634068187
47.868896699593,25.3125,2118924.6478339,0.00047947554919223
48.168896699593,25.3125,2118905.0229332,0.0004816165729864
48.468896699593,25.546875,2118886.5130939,0.00048374331549355
48.768896699593,25.546875,2118867.4895432,0.00048588335546111
49.068896699593,25.78125,2118848.0597049,0.00048800652552702
49.368896699593,25.78125,2118829.0596092,0.00049014550718154
49.668896699593,25.78125,2118809.8069573,0.00049226695513383
49.968896699593,25.78125,2118790.6325921,0.00049440251374266
50.268896699593,25.78125,2118771.4563385,0.0004965222811395
50.568896699593,26.015625,2118752.4059325,0.00049865767914746
50.868896699593,26.015625,2118733.057846,0.00050077565221556
51.108896699593,26.25,2118717.5378838,0.00050248282988606
51.348896699593,26.25,2118701.9461351,0.00050417458115813
51.636896699593,26.25,2118683.6244425,0.00050622113619304
51.936896699593,26.25,2118664.2886741,0.00050833533589161
52.236896699593,26.25,2118644.9614238,0.00051046426101721
52.536896699593,26.25,2118625.8131042,0.00051257607519325
52.836896699593,26.484375,2118606.9418931,0.00051470464331868
53.136896699593,26.484375,2118587.5707574,0.00051681403931942
53.436896699593,26.71875,2118567.9547339,0.00051894145177759
53.736896699593,26.71875,2118548.7148168,0.00052104847925405
54.036896699593,26.71875,2118529.7074903,0.00052317170307108
54.336896699593,26.71875,2118510.2694774,0.00052527614671308
54.636896699593,26.71875,2118491.5226529,0.00052739780819206
54.936896699593,26.953125,2118472.2725084,0.00052950062649327
55.236896699593,26.953125,2118453.2189336,0.00053161939234886
55.536896699593,27.1875,2118433.7322028,0.00053371904116616
55.836896699593,27.1875,2118414.5044505,0.00053583833755586
56.136896699593,27.1875,2118395.0740237,0.00053793456973984
56.436896699593,27.1875,2118376.1713338,0.00054005141845241
56.736896699593,27.1875,2118356.3482699,0.00054214646288551
57.036896699593,27.421875,2118337.2511222,0.00054426360362452
57.276896699593,27.421875,2118321.2042041,0.0005459365843889
57.516896699593,27.421875,2118305.8008168,0.00054763322704853
57.804896699593,27.65625,2118286.1693877,0.00054964155194138
58.104896699593,27.65625,2118267.5849153,0.00055175474010793
58.404896699593,27.65625,2118247.939398,0.00055384709380471
58.704896699593,27.65625,2118228.801246,0.0005559592218855
59.004896699593,27.65625,2118208.9697224,0.00055804864288437
59.304896699593,27.890625,2118190.3509628,0.00056016067821789
59.604896699593,27.890625,2118170.1629173,0.00056224875349457
59.904896699593,28.125,2118151.6122721,0.00056435765710518
60.204896699593,28.125,2118131.794532,0.00056644403869935
60.504896699593,28.125,2118112.8102144,0.00056855305227806
60.804896699593,28.125,2118093.2696208,0.0005706372988825
61.104896699593,28.125,2118073.972693,0.0005727448269062
61.404896699593,28.359375,2118054.3267079,0.00057482817049245
61.704896699593,28.359375,2118034.9541876,0.0005769342100617
62.004896699593,28.359375,2118015.389271,0.00057901572953733
62.304896699593,28.59375,2117996.1422524,0.00058111947652636
62.604896699593,28.59375,2117976.4023471,0.0005831998461386
62.904896699593,28.59375,2117957.2423556,0.00058530152033908
63.204896699593,28.59375,2117937.684395,0.0005873801595934
63.504896699593,28.59375,2117918.4039011,0.00058948118777114
63.804896699593,28.828125,2117898.6527788,0.00059155823812286
64.104896699593,28.828125,2117879.3453732,0.00059365751662552
64.404896699593,29.0625,2117860.0129435,0.0005957339094745
64.704896699593,29.0625,2117840.8293352,0.00059782991227127
65.004896699593,29.0625,2117820.8030705,0.0005999045257053
65.244896699593,29.0625,2117805.1090496,0.00060158311509094
65.484896699593,29.0625,2117789.3963852,0.00060323872841202
65.772896699593,29.0625,2117770.6463357,0.00060525364524671
66.072896699593,29.296875,2117750.8953592,0.00060732515951476
66.372896699593,29.296875,2117731.5576582,0.0006094181993028
66.672896699593,29.53125,2117711.4521859,0.00061148719267953
66.972896699593,29.53125,2117692.094841,0.00061357890518391
67.272896699593,29.53125,2117671.5497721,0.00061564857640199
67.572896699593,29.53125,2117652.1300327,0.00061773987337001
67.872896699593,29.53125,2117633.0239237,0.00061980769147578
68.112896699593,29.53125,2117617.1658682,0.00062147903987184
68.304896699593,29.765625,2117602.3925723,0.0006227972246468
68.496896699593,29.765625,2117589.433069,0.00062413809932943
68.727296699593,29.765625,2117574.1944422,0.00062572161228668
69.003776699593,30,2117556.3517225,0.00062764579369609
69.303776699593,30,2117535.207951,0.00062971002738692
69.603776699593,30,2117515.9344602,0.00063179568073053
69.903776699593,30,2117496.5757376,0.00063385702804748
70.203776699593,30,2117477.3519799,0.00063594209658805
70.503776699593,30,2117456.0517879,0.00063800135263224
70.803776699593,30.234375,2117436.9453786,0.00064008581192498
71.103776699593,30.234375,2117417.4258812,0.00064214332023167
71.403776699593,30.46875,2117398.4810828,0.00064422466745929
71.703776699593,30.46875,2117377.2316032,0.00064628048061011
72.003776699593,30.46875,2117358.1336568,0.0006483599652801
72.303776699593,30.46875,2117338.6226009,0.00065041456251506
72.603776699593,30.46875,2117319.4536402,0.00065249267799046
72.903776699593,30.703125,2117298.9535688,0.0006545453759179
73.203776699593,30.703125,2117280.1576022,0.00065662176405055
73.503776699593,30.703125,2117259.8588042,0.00065867283083169
73.803776699593,30.9375,2117240.7537719,0.00066074947077141
74.103776699593,30.9375,2117221.0727467,0.00066279906045934
74.403776699593,30.9375,2117202.0791599,0.00066487320822332
74.703776699593,30.9375,2117182.7481574,0.0006669206055106
75.003776699593,30.9375,2117163.8459142,0.00066899446797611
75.303776699593,31.171875,2117144.2477493,0.0006710408396881
75.603776699593,31.171875,2117125.2197668,0.00067311386659616
75.903776699593,31.171875,2117105.9629201,0.00067515828318555
76.203776699593,31.40625,2117087.0554953,0.0006772281690933
76.443776699593,31.40625,2117070.933448,0.00067886085042769
76.683776699593,31.40625,2117055.5627898,0.0006805196823863
76.971776699593,31.40625,2117036.9695736,0.00068247935935107
77.271776699593,31.40625,2117017.9674987,0.00068454765877183
77.571776699593,31.40625,2116998.3547736,0.00068658817469113
77.871776699593,31.640625,2116979.6551139,0.00068865496446572
78.171776699593,31.640625,2116960.2379608,0.00069069347047106
78.471776699593,31.875,2116941.5621362,0.00069276017895598
78.771776699593,31.875,2116922.1432447,0.00069479582960593
79.071776699593,31.875,2116903.0222295,0.00069686143761115
79.371776699593,31.875,2116884.1650636,0.0006988967831712
79.671776699593,31.875,2116865.4234848,0.00070096011568557
79.971776699593,31.875,2116846.4269148,0.00070299413282653
80.271776699593,32.109375,2116827.747823,0.00070505638037531
80.571776699593,32.109375,2116808.9556877,0.00070709000995379
80.871776699593,32.34375,2116790.0458323,0.00070915031008875
81.171776699593,32.34375,2116770.8654978,0.00071118231873792
81.471776699593,32.34375,2116752.292414,0.00071324022570634
81.771776699593,32.34375,2116732.9240895,0.00071527178392775
82.071776699593,32.34375,2116713.9603847,0.00071733043585297
82.371776699593,32.34375,2116694.7456558,0.00071935922099688
82.671776699593,32.578125,2116675.9537053,0.00072141678190105
82.971776699593,32.578125,2116656.8175248,0.00072344286499827
83.271776699593,32.8125,2116637.958814,0.00072549971255126
83.571776699593,32.8125,2116618.9423963,0.00072752558576523
83.871776699593,32.8125,2116600.4725943,0.00072958148752866
84.171776699593,32.8125,2116581.284854,0.00073160706621713
84.471776699593,32.8125,2116562.2441555,0.00073366162831913
84.711776699593,32.8125,2116546.4253706,0.0007352792919278
84.951776699593,33.046875,2116531.2580297,0.00073692645137495
85.239776699593,33.046875,2116512.1355968,0.00073886707536372
85.539776699593,33.046875,2116493.5544431,0.00074092116163011
85.839776699593,33.28125,2116474.1667269,0.00074294382830285
86.139776699593,33.28125,2116455.8678206,0.00074499688509217
86.439776699593,33.28125,2116436.3568111,0.00074701843713054
86.739776699593,33.28125,2116417.7252714,0.00074907048579028
87.039776699593,33.28125,2116398.1457644,0.00075109025530185
87.339776699593,33.515625,2116379.8036439,0.00075313955172614
87.639776699593,33.515625,2116359.9056239,0.00075515808861141
87.939776699593,33.515625,2116341.3508172,0.00075720713944203
88.239776699593,33.75,2116321.6501334,0.00075922512284203
88.539776699593,33.75,2116303.0501704,0.00076127239655344
88.839776699593,33.75,2116283.6453955,0.00076329094478831
89.139776699593,33.75,2116264.3797754,0.00076533791945394
89.439776699593,33.75,2116245.4250574,0.00076735438812705
89.739776699593,33.984375,2116226.9438385,0.000769400392492
90.039776699593,33.984375,2116207.1221987,0.00077141677586362
90.339776699593,33.984375,2116188.9589298,0.00077346365437652
90.639776699593,34.21875,2116169.0600161,0.00077547847451392
90.939776699593,34.21875,2116150.7756155,0.00077752226134677
91.239776699593,34.21875,2116130.6265228,0.00077953723765448
91.539776699593,34.21875,2116111.7144125,0.00078158102992706
91.839776699593,34.21875,2116092.5801036,0.00078359606336077
92.139776699593,34.21875,2116074.6663267,0.00078563797711861
92.439776699593,34.453125,2116054.4897575,0.00078765107344584
92.739776699593,34.453125,2116036.5165457,0.00078969369510175
