x,y
0.000000,234.859000
0.400000,234.814000
0.452578,234.800000
0.800000,234.709000
1.200000,234.568000
1.591830,234.400000
1.600000,234.396000
2.000000,234.197000
2.354540,234.000000
2.400000,233.974000
2.800000,233.729000
2.994450,233.600000
3.200000,233.461000
3.565050,233.200000
3.600000,233.174000
4.000000,232.868000
4.083700,232.800000
4.400000,232.540000
4.563770,232.400000
4.800000,232.193000
5.014020,232.000000
5.200000,231.828000
5.439480,231.600000
5.600000,231.444000
5.843860,231.200000
6.000000,231.040000
6.230010,230.800000
6.400000,230.618000
6.600240,230.400000
6.800000,230.177000
6.956380,230.000000
7.200000,229.717000
7.299790,229.600000
7.600000,229.238000
7.631280,229.200000
7.951110,228.800000
8.000000,228.738000
8.262090,228.400000
8.400000,228.219000
8.565140,228.000000
8.800000,227.681000
8.859790,227.600000
9.145000,227.200000
9.200000,227.122000
9.424450,226.800000
9.600000,226.544000
9.698080,226.400000
9.963400,226.000000
10.000000,225.945000
10.223900,225.600000
10.400000,225.325000
10.479800,225.200000
10.728000,224.800000
10.800000,224.684000
10.973500,224.400000
11.200000,224.023000
11.213600,224.000000
11.448100,223.600000
11.600000,223.339000
11.680500,223.200000
11.906000,222.800000
12.000000,222.633000
12.130500,222.400000
12.348800,222.000000
12.400000,221.906000
12.565500,221.600000
12.777400,221.200000
12.800000,221.158000
12.986900,220.800000
13.192900,220.400000
13.200000,220.386000
13.395900,220.000000
13.596100,219.600000
13.600000,219.592000
13.793300,219.200000
13.987800,218.800000
14.000000,218.775000
14.180000,218.400000
14.368900,218.000000
14.400000,217.934000
14.556700,217.600000
14.740300,217.200000
14.800000,217.071000
14.924000,216.800000
15.102700,216.400000
15.200000,216.184000
15.282400,216.000000
15.457000,215.600000
15.600000,215.273000
15.632200,215.200000
15.803600,214.800000
15.973500,214.400000
16.000000,214.338000
16.142700,214.000000
16.308000,213.600000
16.400000,213.379000
16.474500,213.200000
16.636400,212.800000
16.798400,212.400000
16.800000,212.396000
16.958700,212.000000
17.115900,211.600000
17.200000,211.388000
17.274500,211.200000
17.428800,210.800000
17.582900,210.400000
17.600000,210.356000
17.736400,210.000000
17.886300,209.600000
18.000000,209.299000
18.037600,209.200000
18.185800,208.800000
18.332200,208.400000
18.400000,208.217000
18.480000,208.000000
18.623800,207.600000
18.767400,207.200000
18.800000,207.110000
18.911200,206.800000
19.051300,206.400000
19.192200,206.000000
19.200000,205.978000
19.332100,205.600000
19.469000,205.200000
19.600000,204.820000
19.607000,204.800000
19.743500,204.400000
19.877300,204.000000
20.000000,203.637000
20.012500,203.600000
20.145900,203.200000
20.276800,202.800000
20.400000,202.427000
20.409000,202.400000
20.539700,202.000000
20.667900,201.600000
20.797200,201.200000
20.800000,201.191000
20.925500,200.800000
21.051100,200.400000
21.177300,200.000000
21.200000,199.929000
21.303600,199.600000
21.426800,199.200000
21.550000,198.800000
21.600000,198.639000
21.674300,198.400000
21.795500,198.000000
21.915800,197.600000
22.000000,197.324000
22.037800,197.200000
22.157400,196.800000
22.275200,196.400000
22.394300,196.000000
22.400000,195.981000
22.512800,195.600000
22.628600,195.200000
22.744500,194.800000
22.800000,194.611000
22.861800,194.400000
22.976200,194.000000
23.089600,193.600000
23.200000,193.215000
23.204300,193.200000
23.318100,192.800000
23.429500,192.400000
23.541100,192.000000
23.600000,191.791000
23.654000,191.600000
