Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
48,46.5847,0,213,0,2
47.5746,47,0,214,0,2
47,47.5746,0,215,0,2
46.5847,48,0,216,0,2
46,48.6172,0,217,0,2
45.6434,49,0,218,0,2
45,49.7194,0,219,0,2
44.7501,50,0,220,0,2
44,50.8946,0,221,0,2
43.9099,51,0,222,0,2
43.1298,52,0,223,0,2
43,52.1638,0,224,0,2
42.3749,53,0,225,0,2
42,53.5146,0,226,0,2
41.65,54,0,227,0,2
41,54.9924,0,228,0,2
40.9947,55,0,229,0,2
40.3857,56,0,230,0,2
40,56.6568,0,231,0,2
39.7945,57,0,232,0,2
39.2942,58,0,233,0,2
39,58.5903,0,234,0,2
38.7941,59,0,235,0,2
38.3865,60,0,236,0,2
38.0005,61,0,237,0,2
38,61.0015,0,238,0,2
37.6646,62,0,239,0,2
37.4037,63,0,240,0,2
37.1836,64,0,241,0,2
37,64.9869,0,242,0,2
36.9975,65,0,243,0,2
36.8658,66,0,244,0,2
36.7928,67,0,245,0,2
36.7709,68,0,246,0,2
36.7975,69,0,247,0,2
36.8727,70,0,248,0,2
37,70.9957,0,249,0,2
37.0006,71,0,250,0,2
37.1734,72,0,251,0,2
37.3713,73,0,252,0,2
37.5957,74,0,253,0,2
37.8627,75,0,254,0,2
38,75.4215,0,255,0,2
38.1871,76,0,256,0,2
38.504,77,0,257,0,2
38.8443,78,0,258,0,2
39,78.3921,0,259,0,2
39.2377,79,0,260,0,2
39.6037,80,0,261,0,2
40,80.9865,0,262,0,2
40.0059,81,0,263,0,2
40.412,82,0,264,0,2
40.7973,83,0,265,0,2
41,83.4757,0,266,0,2
41.2222,84,0,267,0,2
41.5982,85,0,268,0,2
41.9877,86,0,269,0,2
42,86.0301,0,270,0,2
42.3671,87,0,271,0,2
42.7015,88,0,272,0,2
43,88.8619,0,273,0,2
43.0505,89,0,274,0,2
43.3626,90,0,275,0,2
43.6304,91,0,276,0,2
43.8854,92,0,277,0,2
44,92.4651,0,278,0,2
44.1305,93,0,279,0,2
44.3246,94,0,280,0,2
44.4788,95,0,281,0,2
44.6011,96,0,282,0,2
44.6936,97,0,283,0,2
44.7557,98,0,284,0,2
44.786,99,0,285,0,2
44.7844,100,0,286,0,2
44.7519,101,0,287,0,2
44.691,102,0,288,0,2
44.6047,103,0,289,0,2
44.4953,104,0,290,0,2
44.3632,105,0,291,0,2
44.2054,106,0,292,0,2
44.0147,107,0,293,0,2
44,107.066,0,294,0,2
43.8028,108,0,295,0,2
43.5948,109,0,296,0,2
43.3815,110,0,297,0,2
43.1485,111,0,298,0,2
43,111.564,0,299,0,2
42.8837,112,0,300,0,2
